"","ano","mes","mes_num","m54","m543","m544","i21","c61","j18"
"1",2019,"janeiro",1,2357,109,1683,898,584,71
"2",2019,"fevereiro",2,2787,128,2133,1024,722,68
"3",2019,"marco",3,2423,126,1854,938,670,68
"4",2019,"abril",4,2602,124,2250,1015,787,75
"5",2019,"maio",5,2569,135,2260,989,779,105
"6",2019,"junho",6,2138,110,1924,834,671,82
"7",2019,"julho",7,2121,129,1839,914,614,104
"8",2019,"agosto",8,2180,144,1967,976,730,97
"9",2019,"setembro",9,1887,98,1738,869,618,81
"10",2019,"outubro",10,2038,125,1957,930,679,92
"11",2019,"novembro",11,1772,89,1553,751,551,73
"12",2019,"dezembro",12,1437,82,1387,610,491,40
"13",2019,"janeiro",1,1442,68,1316,712,478,63
"14",2019,"fevereiro",2,1637,93,1532,701,483,54
"15",2019,"marco",3,1319,91,1162,559,375,37
"16",2019,"abril",4,575,61,762,137,127,24
"17",2019,"maio",5,274,27,351,72,70,25
"18",2019,"junho",6,144,12,157,30,26,2
"19",2019,"julho",7,120,11,140,43,27,4
"20",2019,"agosto",8,105,2,124,46,42,3
"21",2019,"setembro",9,185,11,213,132,67,5
"22",2019,"outubro",10,904,53,843,492,344,42
"23",2019,"novembro",11,1019,44,962,526,333,33
"24",2019,"dezembro",12,1050,52,996,502,316,24
